23-03-2026 10:39:04 | INFO     | docling.document_converter | Finished converting document tmp0ljbpiel.docx in 0.89 sec.
23-03-2026 10:39:04 | INFO     | utils.gpu_client | GPU call → https://capturable-undiminishably-kourtney.ngrok-free.dev/generate
23-03-2026 10:39:04 | INFO     | main | Shutting down process pool…
23-03-2026 10:39:04 | INFO     | backend.worker | Process pool shut down
23-03-2026 10:39:04 | INFO     | main | Shutdown complete
23-03-2026 10:43:29 | INFO     | main | Starting on port 8000
23-03-2026 10:43:29 | INFO     | utils.db | SQLite DB ready → C:\sow_agent_v3\data/procurement.db
23-03-2026 10:43:29 | INFO     | main | SQLite DB ready
23-03-2026 10:43:29 | INFO     | backend.worker | Process pool ready — 20 workers
23-03-2026 10:43:29 | INFO     | main | 🚀 Procurement Agent started — 20 concurrent users supported
23-03-2026 10:43:34 | INFO     | backend.session | Session created: da384e77 (active=1)
23-03-2026 10:43:45 | INFO     | utils.db | Upload saved: SOW 'STATEMENT OF WORK_ADCEnhancements-2026-UID0038619-R.docx' (Word) → id=5
23-03-2026 10:43:45 | INFO     | utils.db | Upload saved: PO 'PO2548625             (1).docx' (Word) → id=6
23-03-2026 10:43:45 | INFO     | backend.routes.pages | [Session da384e77] Job a2438d2f queued (running=0)
23-03-2026 10:43:45 | INFO     | backend.worker | [Job a2438d2f] Started | session=da384e77
23-03-2026 10:44:00 | INFO     | main | Shutting down process pool…
23-03-2026 10:44:00 | INFO     | backend.worker | Process pool shut down
23-03-2026 10:44:00 | INFO     | main | Shutdown complete
23-03-2026 10:44:39 | INFO     | main | Starting on port 8000
23-03-2026 10:44:39 | INFO     | utils.db | SQLite DB ready → C:\sow_agent_v3\data/procurement.db
23-03-2026 10:44:39 | INFO     | main | SQLite DB ready
23-03-2026 10:44:39 | INFO     | backend.worker | Process pool ready — 20 workers
23-03-2026 10:44:39 | INFO     | main | 🚀 Procurement Agent started — 20 concurrent users supported
23-03-2026 10:44:42 | INFO     | backend.session | Session created: f6395110 (active=1)
23-03-2026 10:44:53 | INFO     | utils.db | Upload saved: SOW 'STATEMENT OF WORK_ADCEnhancements-2026-UID0038619-R.docx' (Word) → id=7
23-03-2026 10:44:53 | INFO     | utils.db | Upload saved: PO 'PO2548625            .docx' (Word) → id=8
23-03-2026 10:44:53 | INFO     | backend.routes.pages | [Session f6395110] Job 026c2da9 queued (running=0)
23-03-2026 10:44:54 | INFO     | backend.worker | [Job 026c2da9] Started | session=f6395110
23-03-2026 10:45:58 | WARNING  | tensorflow | From C:\Users\Creat\AppData\Local\Programs\Python\Python311\Lib\site-packages\keras\src\losses.py:2976: The name tf.losses.sparse_softmax_cross_entropy is deprecated. Please use tf.compat.v1.losses.sparse_softmax_cross_entropy instead.

23-03-2026 10:46:02 | INFO     | docling.datamodel.document | detected formats: [<InputFormat.DOCX: 'docx'>]
23-03-2026 10:46:02 | INFO     | docling.document_converter | Going to convert document batch...
23-03-2026 10:46:02 | INFO     | docling.document_converter | Initializing pipeline for SimplePipeline with options hash 2d9476a27fcaef36a7b7dc80210d99aa
23-03-2026 10:46:02 | INFO     | docling.models.factories.base_factory | Loading plugin 'docling_defaults'
23-03-2026 10:46:02 | INFO     | docling.models.factories | Registered picture descriptions: ['picture_description_vlm_engine', 'vlm', 'api']
23-03-2026 10:46:02 | INFO     | docling.pipeline.base_pipeline | Processing document tmpot6fhnjc.docx
23-03-2026 10:46:02 | WARNING  | docling.backend.msword_backend | Found DrawingML elements in document, but no DOCX to PDF converters. If you want these exported, make sure you have LibreOffice binary in PATH or specify its path with DOCLING_LIBREOFFICE_CMD.
